STATION,CHORD,PITCH,PITCH,PITCH,SWEEP,THICKNESS,TWIST,MAX-THICK,CROSS-SECTION,ZHIGH,CGY,CGZ
1.2,0.9193,10,9.9962,9.198,0.4184,0.1569,52.9739,0.1442,0.0844,0.4294,0.158,0.145
1.26,0.9384,10,10,9.2552,0.4236,0.1513,51.632,0.142,0.0844,0.426,0.152,0.1433
1.32,0.9554,10,10,9.3015,0.4283,0.1462,50.3283,0.1397,0.0842,0.4222,0.1462,0.1417
1.38,0.9708,10,10,9.3438,0.4324,0.1415,49.0721,0.1374,0.0839,0.4181,0.1404,0.1402
1.44,0.9845,10,10,9.3824,0.4361,0.1373,47.8619,0.1351,0.0834,0.4136,0.1348,0.1387
1.5,0.9966,10,10,9.4173,0.4393,0.1334,46.6962,0.1329,0.083,0.4089,0.1292,0.1372
1.5602,1.0072,10,10,9.4493,0.4419,0.1298,45.5707,0.1307,0.0824,0.4039,0.1237,0.1356
1.6594,1.0213,10,10,9.4955,0.4453,0.1247,43.8052,0.1274,0.0815,0.395,0.1148,0.1328
1.7782,1.033,10,10,9.5405,0.4477,0.1198,41.8303,0.1237,0.0805,0.3836,0.1044,0.1288
1.8971,1.0392,10,10,9.5741,0.4483,0.1159,39.9952,0.1204,0.0795,0.3712,0.0944,0.124
2.016,1.0404,10,10,9.5969,0.4473,0.113,38.2903,0.1176,0.0787,0.358,0.0846,0.1183
2.1348,1.0367,10,10,9.6101,0.4447,0.111,36.7049,0.1151,0.078,0.3441,0.0753,0.1117
2.2537,1.0286,10,10,9.6161,0.4406,0.1096,35.229,0.1128,0.0773,0.3295,0.0663,0.1043
2.3726,1.0164,10,10,9.6218,0.435,0.1085,33.8534,0.1103,0.0759,0.3143,0.058,0.0965
2.4915,1.0003,10,10,9.6267,0.4281,0.1074,32.5697,0.1075,0.074,0.2985,0.0503,0.0884
2.6104,0.9806,10,10,9.6295,0.4199,0.1064,31.3702,0.1044,0.0716,0.2823,0.0433,0.0803
2.7293,0.9578,10,10,9.6261,0.4105,0.1055,30.2477,0.101,0.0689,0.2657,0.0371,0.0721
2.8482,0.932,10,10,9.6202,0.3999,0.1046,29.1959,0.0975,0.0657,0.2489,0.0315,0.064
2.9671,0.9037,10,10,9.6135,0.3883,0.1038,28.2089,0.0938,0.0622,0.2319,0.0266,0.056
3.086,0.873,10,10,9.6065,0.3757,0.1031,27.2815,0.09,0.0583,0.2148,0.0224,0.0481
3.2049,0.8404,10,10,9.599,0.3622,0.1024,26.4089,0.0861,0.0543,0.1975,0.0187,0.0403
3.3238,0.8062,10,10,9.5914,0.3479,0.1018,25.5867,0.0821,0.0501,0.1803,0.0156,0.0326
3.4427,0.7706,10,10,9.5836,0.3328,0.1012,24.811,0.078,0.0458,0.1632,0.0129,0.0251
3.5616,0.734,10,10,9.5755,0.317,0.1007,24.0782,0.0739,0.0415,0.1462,0.0105,0.0177
3.6805,0.6967,10,10,9.5665,0.3006,0.1003,23.385,0.0699,0.0373,0.1295,0.0083,0.0104
3.7994,0.659,10,10,9.5569,0.2837,0.1,22.7286,0.0659,0.0332,0.113,0.0061,0.0031
3.9183,0.6212,10,10,9.5469,0.2664,0.0997,22.1063,0.0619,0.0294,0.0969,0.0037,-0.0043
4.0372,0.5836,10,10,9.536,0.2486,0.0994,21.5155,0.058,0.0259,0.0812,0.001,-0.0117
4.1561,0.5466,10,10,9.5242,0.2306,0.0993,20.9541,0.0543,0.0227,0.0661,-0.002,-0.019
4.275,0.5104,10,10,9.5113,0.2123,0.0992,20.42,0.0506,0.0198,0.0515,-0.0054,-0.0262
4.3939,0.4754,10,10,9.488,0.1939,0.0991,19.9114,0.0471,0.0171,0.0374,-0.0094,-0.0337
4.5128,0.4419,10,10,9.4485,0.1754,0.0992,19.4266,0.0438,0.0148,0.0238,-0.014,-0.0413
4.6317,0.4102,10,10,9.3871,0.1569,0.0993,18.964,0.0407,0.0127,0.0108,-0.0191,-0.049
4.7506,0.3806,10,10,9.1954,0.1384,0.0994,18.5221,0.0378,0.0109,-0.0015,-0.0251,-0.0566
4.864,0.3237,10,10,8.8115,0.0916,0.0996,18.1187,0.0323,0.0079,-0.0228,-0.0476,-0.0695
4.98,0.0952,10,10,8.4781,-0.1209,0.0999,17.7232,0.0095,0.0007,-0.0997,-0.1621,-0.1135
5,0.0001,10,10.0366,10.037,-0.211,0.1,17.7174,0,0,-0.1307,0,0
